"","rename","Species","names"
"247","Neisseriaceae_Neisseria_FJ192306.1.1434","uncultured Neisseria sp.","FJ192306.1.1434_beta_extraction"
"248","Neisseriaceae_Neisseria_JQ450524.1.1404","uncultured bacterium","JQ450524.1.1404_beta_extraction"
"249","Neisseriaceae_Neisseria_JF162185.1.1358","uncultured bacterium","JF162185.1.1358_beta_extraction"
"250","Neisseriaceae_uncultured_JF161724.1.1365","uncultured bacterium","JF161724.1.1365_beta_extraction"
"251","Neisseriaceae_Neisseria_JF151756.1.1362","uncultured bacterium","JF151756.1.1362_beta_extraction"
"252","Neisseriaceae_Bergeriella_BCWL01000265.646.2166","Bergeriella denitrificans NBRC 102155","BCWL01000265.646.2166_beta_extraction"
"253","Neisseriaceae_Neisseria_HE681379.1.1531","uncultured bacterium","HE681379.1.1531_beta_extraction"
"254","Neisseriaceae_uncultured_FJ517704.1.1396","uncultured beta proteobacterium","FJ517704.1.1396_beta_extraction"
"255","Neisseriaceae_Neisseria_JQ447332.1.1413","uncultured bacterium","JQ447332.1.1413_beta_extraction"
"256","Neisseriaceae_Neisseria_JQ455393.1.1392","uncultured bacterium","JQ455393.1.1392_beta_extraction"
"257","Neisseriaceae_Neisseria_JRET01000009.293218.294744","Neisseria meningitidis","JRET01000009.293218.294744_beta_extraction"
"258","Neisseriaceae_Neisseria_GQ069096.1.1366","uncultured bacterium","GQ069096.1.1366_beta_extraction"
"259","Neisseriaceae_Neisseria_JQ455417.1.1411","uncultured bacterium","JQ455417.1.1411_beta_extraction"
"260","Neisseriaceae_Neisseria_KR870879.1.1487","uncultured Neisseria sp.","KR870879.1.1487_beta_extraction"
"261","Neisseriaceae_Neisseria_AJ239284.1.1355","Neisseria lactamica","AJ239284.1.1355_beta_extraction"
"262","Neisseriaceae_uncultured_KF101582.1.1366","uncultured bacterium","KF101582.1.1366_beta_extraction"
"263","Neisseriaceae_uncultured_HQ674328.1.1476","uncultured bacterium","HQ674328.1.1476_beta_extraction"
"264","Neisseriaceae_Alysiella_GQ358852.1.1499","uncultured bacterium","GQ358852.1.1499_beta_extraction"
"265","Neisseriaceae_Neisseria_JQ453482.1.1345","uncultured bacterium",NA
"266","Neisseriaceae_Neisseria_JQ467428.1.1403","uncultured bacterium","JQ467428.1.1403_beta_extraction"
"267","Neisseriaceae_Eikenella_JQ450990.1.1400","uncultured bacterium","JQ450990.1.1400_beta_extraction"
"268","Neisseriaceae_Neisseria_JQ453019.1.1418","uncultured bacterium","JQ453019.1.1418_beta_extraction"
"269","Neisseriaceae_Neisseria_JQ467262.1.1417","uncultured bacterium","JQ467262.1.1417_beta_extraction"
"270","Neisseriaceae_Neisseria_AJ629192.1.1427","Kingella potus","AJ629192.1.1427_beta_extraction"
"271","Neisseriaceae_Neisseria_JF162744.1.1362","uncultured bacterium","JF162744.1.1362_beta_extraction"
"272","Neisseriaceae_Neisseria_JQ453351.1.1405","uncultured bacterium","JQ453351.1.1405_beta_extraction"
"273","Neisseriaceae_uncultured_JX105531.1.1502","uncultured bacterium","JX105531.1.1502_beta_extraction"
"274","Neisseriaceae_Neisseria_JQ452008.1.1412","uncultured bacterium","JQ452008.1.1412_beta_extraction"
"275","Neisseriaceae_Neisseria_EF511953.1.1458","uncultured bacterium","EF511953.1.1458_beta_extraction"
"276","Neisseriaceae_Neisseria_JQ452931.1.1402","uncultured bacterium","JQ452931.1.1402_beta_extraction"
"277","Neisseriaceae_Neisseria_FEZK01000028.12770.14271","Neisseria meningitidis","FEZK01000028.12770.14271_beta_extraction"
"278","Neisseriaceae_uncultured_JF132999.1.1362","uncultured bacterium","JF132999.1.1362_beta_extraction"
"279","Neisseriaceae_Eikenella_EF509092.1.1419","uncultured bacterium","EF509092.1.1419_beta_extraction"
"280","Neisseriaceae_Neisseria_KF101155.1.1370","uncultured bacterium","KF101155.1.1370_beta_extraction"
"281","Neisseriaceae_Vitreoscilla_HM773475.1.1400","uncultured bacterium","HM773475.1.1400_beta_extraction"
"282","Neisseriaceae_Neisseria_JF153793.1.1362","uncultured bacterium","JF153793.1.1362_beta_extraction"
"283","Neisseriaceae_Neisseria_FJ192004.1.1433","uncultured Neisseria sp.","FJ192004.1.1433_beta_extraction"
"284","Neisseriaceae_Neisseria_JQ467329.1.1414","uncultured bacterium","JQ467329.1.1414_beta_extraction"
"285","Neisseriaceae_Neisseria_EF511167.1.1488","uncultured bacterium","EF511167.1.1488_beta_extraction"
"286","Neisseriaceae_uncultured_GQ114641.1.1365","uncultured bacterium","GQ114641.1.1365_beta_extraction"
"287","Neisseriaceae_Neisseria_HM320269.1.1362","uncultured bacterium","HM320269.1.1362_beta_extraction"
"288","Neisseriaceae_Kingella_JQ451118.1.1411","uncultured bacterium","JQ451118.1.1411_beta_extraction"
"289","Neisseriaceae_uncultured_HM300136.1.1364","uncultured bacterium","HM300136.1.1364_beta_extraction"
"290","Neisseriaceae_uncultured_HQ740126.1.1463","uncultured organism","HQ740126.1.1463_beta_extraction"
"291","Neisseriaceae_Neisseria_JQ204627.1.1364","uncultured bacterium","JQ204627.1.1364_beta_extraction"
"292","Neisseriaceae_Conchiformibius_JF116917.1.1361","uncultured bacterium","JF116917.1.1361_beta_extraction"
"293","Neisseriaceae_Neisseria_JQ460269.1.1398","uncultured bacterium","JQ460269.1.1398_beta_extraction"
"294","Neisseriaceae_uncultured_HQ399850.1.1508","uncultured rumen bacterium","HQ399850.1.1508_beta_extraction"
"295","Neisseriaceae_Neisseria_JQ453390.1.1410","uncultured bacterium","JQ453390.1.1410_beta_extraction"
"296","Neisseriaceae_Neisseria_JQ466875.1.1410","uncultured bacterium","JQ466875.1.1410_beta_extraction"
"297","Neisseriaceae_Eikenella_JQ451250.1.1415","uncultured bacterium","JQ451250.1.1415_beta_extraction"
"298","Neisseriaceae_Neisseria_JQ206323.1.1362","uncultured bacterium","JQ206323.1.1362_beta_extraction"
"299","Neisseriaceae_Neisseria_JF189351.1.1357","uncultured bacterium","JF189351.1.1357_beta_extraction"
"300","Neisseriaceae_Neisseria_JQ449973.1.1393","uncultured bacterium","JQ449973.1.1393_beta_extraction"
"301","Neisseriaceae_Neisseria_JF194033.1.1361","uncultured bacterium","JF194033.1.1361_beta_extraction"
"302","Neisseriaceae_Neisseria_FJ191340.1.1452","uncultured Neisseria sp.","FJ191340.1.1452_beta_extraction"
"303","Neisseriaceae_Neisseria_JF198378.1.1363","uncultured bacterium","JF198378.1.1363_beta_extraction"
"304","Neisseriaceae_Neisseria_JF222443.1.1362","uncultured bacterium","JF222443.1.1362_beta_extraction"
"305","Neisseriaceae_Neisseria_JQ453110.1.1383","uncultured bacterium","JQ453110.1.1383_beta_extraction"
"306","Neisseriaceae_Neisseria_JQ453260.1.1400","uncultured bacterium","JQ453260.1.1400_beta_extraction"
"307","Neisseriaceae_Neisseria_JQ453164.1.1413","uncultured bacterium","JQ453164.1.1413_beta_extraction"
"308","Neisseriaceae_Neisseria_JQ455352.1.1404","uncultured bacterium","JQ455352.1.1404_beta_extraction"
"309","Neisseriaceae_Neisseria_FJ191986.1.1433","uncultured Neisseria sp.","FJ191986.1.1433_beta_extraction"
"310","Neisseriaceae_Neisseria_KF098515.1.1369","uncultured bacterium","KF098515.1.1369_beta_extraction"
"311","Neisseriaceae_Neisseria_JF140902.1.1361","uncultured bacterium","JF140902.1.1361_beta_extraction"
"312","Neisseriaceae_Neisseria_JQ460483.1.1408","uncultured bacterium","JQ460483.1.1408_beta_extraction"
"313","Neisseriaceae_Neisseria_HM287367.1.1362","uncultured bacterium","HM287367.1.1362_beta_extraction"
"314","Neisseriaceae_Neisseria_JQ450754.1.1403","uncultured bacterium","JQ450754.1.1403_beta_extraction"
"315","Neisseriaceae_Neisseria_JF198885.1.1362","uncultured bacterium","JF198885.1.1362_beta_extraction"
"316","Neisseriaceae_Eikenella_KU663109.1.1447","Eikenella sp. NML01-A-086","KU663109.1.1447_beta_extraction"
"317","Neisseriaceae_Neisseria_JQ455524.1.1394","uncultured bacterium","JQ455524.1.1394_beta_extraction"
"318","Neisseriaceae_Kingella_JQ452790.1.1402","uncultured bacterium","JQ452790.1.1402_beta_extraction"
"319","Neisseriaceae_Neisseria_JF137912.1.1363","uncultured bacterium","JF137912.1.1363_beta_extraction"
"320","Neisseriaceae_Neisseria_JQ453517.1.1390","uncultured bacterium","JQ453517.1.1390_beta_extraction"
"321","Neisseriaceae_Neisseria_JQ453486.1.1256","uncultured bacterium",NA
"322","Neisseriaceae_Conchiformibius_AY426973.1.1462","Neisseria canis","AY426973.1.1462_beta_extraction"
"323","Neisseriaceae_Eikenella_JQ465073.1.1388","uncultured bacterium","JQ465073.1.1388_beta_extraction"
"324","Neisseriaceae_Neisseria_JQ452711.1.1387","uncultured bacterium","JQ452711.1.1387_beta_extraction"
"325","Neisseriaceae_Kingella_JQ457297.1.1377","uncultured bacterium","JQ457297.1.1377_beta_extraction"
"326","Neisseriaceae_Neisseria_JQ457804.1.1400","uncultured bacterium","JQ457804.1.1400_beta_extraction"
"327","Neisseriaceae_Neisseria_JQ205242.1.1366","uncultured bacterium","JQ205242.1.1366_beta_extraction"
"328","Neisseriaceae_Kingella_JQ466386.1.1387","uncultured bacterium","JQ466386.1.1387_beta_extraction"
"329","Neisseriaceae_uncultured_DQ129259.1.1486","uncultured bacterium","DQ129259.1.1486_beta_extraction"
"330","Neisseriaceae_Neisseria_HM331640.1.1363","uncultured bacterium","HM331640.1.1363_beta_extraction"
"331","Neisseriaceae_Eikenella_JQ456767.1.1398","uncultured bacterium","JQ456767.1.1398_beta_extraction"
"332","Neisseriaceae_Neisseria_JQ456335.1.1398","uncultured bacterium","JQ456335.1.1398_beta_extraction"
"333","Neisseriaceae_Neisseria_JQ453378.1.1414","uncultured bacterium","JQ453378.1.1414_beta_extraction"
"334","Neisseriaceae_Kingella_JQ457037.1.1401","uncultured bacterium","JQ457037.1.1401_beta_extraction"
"335","Neisseriaceae_Neisseria_JQ460351.1.1406","uncultured bacterium","JQ460351.1.1406_beta_extraction"
"336","Neisseriaceae_Neisseria_JQ204631.1.1366","uncultured bacterium","JQ204631.1.1366_beta_extraction"
"337","Neisseriaceae_Neisseria_JTDO01000027.373.1926","Neisseria arctica","JTDO01000027.373.1926_beta_extraction"
"338","Neisseriaceae_Neisseria_ALXM01000017.64.1588","Neisseria meningitidis 93003","ALXM01000017.64.1588_beta_extraction"
"339","Neisseriaceae_Neisseria_JF139986.1.1362","uncultured bacterium","JF139986.1.1362_beta_extraction"
"340","Neisseriaceae_Neisseria_JQ468360.1.1394","uncultured bacterium","JQ468360.1.1394_beta_extraction"
"341","Neisseriaceae_Neisseria_EF511172.1.1374","uncultured bacterium","EF511172.1.1374_beta_extraction"
"342","Neisseriaceae_Neisseria_JF226148.1.1362","uncultured bacterium","JF226148.1.1362_beta_extraction"
"343","Neisseriaceae_Neisseria_FJ192150.1.1459","uncultured Neisseria sp.","FJ192150.1.1459_beta_extraction"
"344","Neisseriaceae_Neisseria_JQ450459.1.1402","uncultured bacterium","JQ450459.1.1402_beta_extraction"
"345","Neisseriaceae_Neisseria_JQ466615.1.1407","uncultured bacterium","JQ466615.1.1407_beta_extraction"
"346","Neisseriaceae_Neisseria_JQ452016.1.1395","uncultured bacterium","JQ452016.1.1395_beta_extraction"
"347","Neisseriaceae_uncultured_JF830238.1.1513","bacterium enrichment culture clone B214(2011)","JF830238.1.1513_beta_extraction"
"348","Neisseriaceae_Conchiformibius_HM312509.1.1362","uncultured bacterium","HM312509.1.1362_beta_extraction"
"349","Neisseriaceae_Neisseria_JF189647.1.1358","uncultured bacterium","JF189647.1.1358_beta_extraction"
"350","Neisseriaceae_Neisseria_FJ976263.1.1369","uncultured Neisseria sp.","FJ976263.1.1369_beta_extraction"
"351","Neisseriaceae_Neisseria_FJ876273.1.2633","Neisseria sp. CSL 7565","FJ876273.1.2633_beta_extraction"
"352","Neisseriaceae_Conchiformibius_JF241542.1.1362","uncultured bacterium","JF241542.1.1362_beta_extraction"
"353","Neisseriaceae_Neisseria_JF199162.1.1361","uncultured bacterium","JF199162.1.1361_beta_extraction"
"354","Neisseriaceae_Neisseria_JQ452117.1.1400","uncultured bacterium","JQ452117.1.1400_beta_extraction"
"355","Neisseriaceae_Neisseria_JQ451952.1.1368","uncultured bacterium","JQ451952.1.1368_beta_extraction"
"356","Neisseriaceae_Neisseria_JF199038.1.1364","uncultured bacterium","JF199038.1.1364_beta_extraction"
"357","Neisseriaceae_Neisseria_L06168.1.1486","Neisseria flavescens","L06168.1.1486_beta_extraction"
"358","Neisseriaceae_Neisseria_JF232622.1.1361","uncultured bacterium","JF232622.1.1361_beta_extraction"
"359","Neisseriaceae_Neisseria_JQ452561.1.1387","uncultured bacterium","JQ452561.1.1387_beta_extraction"
"360","Neisseriaceae_uncultured_JF241633.1.1365","uncultured bacterium","JF241633.1.1365_beta_extraction"
"361","Neisseriaceae_Snodgrassella_HM108727.1.1499","Snodgrassella alvi","HM108727.1.1499_beta_extraction"
"362","Neisseriaceae_uncultured_KC000348.1.1366","unidentified marine bacterioplankton",NA
"363","Neisseriaceae_Neisseria_JQ455387.1.1401","uncultured bacterium","JQ455387.1.1401_beta_extraction"
"364","Neisseriaceae_Simonsiella_JF141001.1.1368","uncultured bacterium","JF141001.1.1368_beta_extraction"
"365","Neisseriaceae_Neisseria_JQ453484.1.1386","uncultured bacterium","JQ453484.1.1386_beta_extraction"
"366","Neisseriaceae_Kingella_JQ458166.1.1384","uncultured bacterium","JQ458166.1.1384_beta_extraction"
"367","Neisseriaceae_Neisseria_JQ455264.1.1420","uncultured bacterium","JQ455264.1.1420_beta_extraction"
"368","Neisseriaceae_Kingella_JQ467229.1.1408","uncultured bacterium","JQ467229.1.1408_beta_extraction"
"369","Neisseriaceae_Neisseria_JQ450243.1.1401","uncultured bacterium","JQ450243.1.1401_beta_extraction"
"370","Neisseriaceae_uncultured_FPLS01017319.10.1531","metagenome","FPLS01017319.10.1531_beta_extraction"
"371","Neisseriaceae_Vitreoscilla_EU370420.1.1492","Neisseria sp. 93S1","EU370420.1.1492_beta_extraction"
"372","Neisseriaceae_Neisseria_JRET01000004.1608177.1609697","Neisseria meningitidis","JRET01000004.1608177.1609697_beta_extraction"
"373","Neisseriaceae_Neisseria_JQ451660.1.1399","uncultured bacterium","JQ451660.1.1399_beta_extraction"
"374","Neisseriaceae_Neisseria_JQ453127.1.1390","uncultured bacterium","JQ453127.1.1390_beta_extraction"
"375","Neisseriaceae_Alysiella_FPLP01008946.16.1534","metagenome","FPLP01008946.16.1534_beta_extraction"
"376","Neisseriaceae_Kingella_JQ462160.1.1396","uncultured bacterium","JQ462160.1.1396_beta_extraction"
"377","Neisseriaceae_Conchiformibius_JF129416.1.1358","uncultured bacterium","JF129416.1.1358_beta_extraction"
"378","Neisseriaceae_Neisseria_ALXZ01000006.249802.251330","Neisseria meningitidis NM3081","ALXZ01000006.249802.251330_beta_extraction"
"379","Neisseriaceae_Neisseria_EF511930.1.1421","uncultured bacterium","EF511930.1.1421_beta_extraction"
"380","Neisseriaceae_Neisseria_JF157864.1.1362","uncultured bacterium","JF157864.1.1362_beta_extraction"
"381","Neisseriaceae_Conchiformibius_GQ110336.1.1363","uncultured bacterium","GQ110336.1.1363_beta_extraction"
"382","Neisseriaceae_Neisseria_KF079085.1.1364","uncultured bacterium","KF079085.1.1364_beta_extraction"
"383","Neisseriaceae_Neisseria_JQ454314.1.1390","uncultured bacterium","JQ454314.1.1390_beta_extraction"
"384","Neisseriaceae_uncultured_HM344207.1.1365","uncultured bacterium","HM344207.1.1365_beta_extraction"
"385","Neisseriaceae_Kingella_JQ467996.1.1398","uncultured bacterium","JQ467996.1.1398_beta_extraction"
"386","Neisseriaceae_Neisseria_KU060248.1.1501","Neisseria sp. PPQC13-MTSKWH3-1","KU060248.1.1501_beta_extraction"
"387","Neisseriaceae_Conchiformibius_JF223857.1.1358","uncultured bacterium","JF223857.1.1358_beta_extraction"
"388","Neisseriaceae_Neisseria_JF197025.1.1363","uncultured bacterium","JF197025.1.1363_beta_extraction"
"389","Neisseriaceae_Conchiformibius_JF120224.1.1362","uncultured bacterium","JF120224.1.1362_beta_extraction"
"390","Neisseriaceae_Neisseria_JQ455455.1.1406","uncultured bacterium","JQ455455.1.1406_beta_extraction"
"391","Neisseriaceae_Neisseria_JQ464870.1.1398","uncultured bacterium","JQ464870.1.1398_beta_extraction"
"392","Neisseriaceae_uncultured_HM445124.1.1315","uncultured bacterium","HM445124.1.1315_beta_extraction"
"393","Neisseriaceae_Neisseria_JQ455282.1.1401","uncultured bacterium","JQ455282.1.1401_beta_extraction"
"394","Neisseriaceae_Neisseria_JQ467179.1.1403","uncultured bacterium","JQ467179.1.1403_beta_extraction"
"395","Neisseriaceae_Neisseria_JQ467448.1.1397","uncultured bacterium","JQ467448.1.1397_beta_extraction"
"396","Neisseriaceae_Neisseria_FJ191957.1.1447","uncultured Neisseria sp.","FJ191957.1.1447_beta_extraction"
"397","Neisseriaceae_Conchiformibius_JF241492.1.1358","uncultured bacterium","JF241492.1.1358_beta_extraction"
"398","Neisseriaceae_Kingella_JQ467933.1.1407","uncultured bacterium","JQ467933.1.1407_beta_extraction"
"399","Neisseriaceae_Kingella_HK556299.1.1288","unidentified","HK556299.1.1288_beta_extraction"
"400","Neisseriaceae_Kingella_JQ463649.1.1405","uncultured bacterium","JQ463649.1.1405_beta_extraction"
"401","Neisseriaceae_uncultured_AY963481.1.1459","uncultured bacterium","AY963481.1.1459_beta_extraction"
"402","Neisseriaceae_Neisseria_HM299075.1.1363","uncultured bacterium","HM299075.1.1363_beta_extraction"
"403","Neisseriaceae_Neisseria_JQ453421.1.1412","uncultured bacterium","JQ453421.1.1412_beta_extraction"
"404","Neisseriaceae_Kingella_JQ462434.1.1410","uncultured bacterium","JQ462434.1.1410_beta_extraction"
"405","Neisseriaceae_uncultured_EU104028.1.1455","uncultured bacterium","EU104028.1.1455_beta_extraction"
"406","Neisseriaceae_Neisseria_EF511186.1.1371","uncultured bacterium","EF511186.1.1371_beta_extraction"
"407","Neisseriaceae_Neisseria_JQ447069.1.1395","uncultured bacterium","JQ447069.1.1395_beta_extraction"
"408","Neisseriaceae_Neisseria_CQLE01000007.1921.3446","Neisseria gonorrhoeae","CQLE01000007.1921.3446_beta_extraction"
"409","Neisseriaceae_Neisseria_JF197126.1.1362","uncultured bacterium","JF197126.1.1362_beta_extraction"
"410","Neisseriaceae_Snodgrassella_FMAP01000023.26.1568","Snodgrassella sp. R-53583","FMAP01000023.26.1568_beta_extraction"
"411","Neisseriaceae_Neisseria_JQ453388.1.1400","uncultured bacterium","JQ453388.1.1400_beta_extraction"
"412","Neisseriaceae_Neisseria_KF095863.1.1362","uncultured bacterium","KF095863.1.1362_beta_extraction"
"413","Neisseriaceae_Neisseria_JF149186.1.1362","uncultured bacterium","JF149186.1.1362_beta_extraction"
"414","Neisseriaceae_Snodgrassella_HM108693.1.1500","uncultured Neisseriaceae bacterium","HM108693.1.1500_beta_extraction"
"415","Neisseriaceae_Kingella_JQ452481.1.1284","uncultured bacterium",NA
"416","Neisseriaceae_Neisseria_FJ191705.1.1466","uncultured Neisseria sp.","FJ191705.1.1466_beta_extraction"
"417","Neisseriaceae_Neisseria_JQ453136.1.1421","uncultured bacterium","JQ453136.1.1421_beta_extraction"
"418","Neisseriaceae_Eikenella_JQ456105.1.1399","uncultured bacterium","JQ456105.1.1399_beta_extraction"
"419","Neisseriaceae_Kingella_JQ464511.1.1405","uncultured bacterium","JQ464511.1.1405_beta_extraction"
"420","Neisseriaceae_Neisseria_JQ447359.1.1398","uncultured bacterium","JQ447359.1.1398_beta_extraction"
"421","Neisseriaceae_uncultured_JF099927.1.1364","uncultured bacterium","JF099927.1.1364_beta_extraction"
"422","Neisseriaceae_Neisseria_FEYF01000009.4099.5576","Neisseria meningitidis","FEYF01000009.4099.5576_beta_extraction"
"423","Neisseriaceae_Neisseria_KF071082.1.1362","uncultured bacterium","KF071082.1.1362_beta_extraction"
"424","Neisseriaceae_Neisseria_JQ454754.1.1399","uncultured bacterium","JQ454754.1.1399_beta_extraction"
"425","Neisseriaceae_Neisseria_JQ453294.1.1425","uncultured bacterium","JQ453294.1.1425_beta_extraction"
"426","Neisseriaceae_Neisseria_JQ453371.1.1416","uncultured bacterium","JQ453371.1.1416_beta_extraction"
"427","Neisseriaceae_Neisseria_JQ456021.1.1389","uncultured bacterium","JQ456021.1.1389_beta_extraction"
"428","Neisseriaceae_Neisseria_JQ452474.1.1404","uncultured bacterium","JQ452474.1.1404_beta_extraction"
"429","Neisseriaceae_Neisseria_CQNQ01000004.65715.67138","Neisseria gonorrhoeae","CQNQ01000004.65715.67138_beta_extraction"
"430","Neisseriaceae_Neisseria_JQ452570.1.1400","uncultured bacterium","JQ452570.1.1400_beta_extraction"
"431","Neisseriaceae_Neisseria_JOVI01000002.1457969.1459502","Neisseria lactamica ATCC 23970","JOVI01000002.1457969.1459502_beta_extraction"
"432","Neisseriaceae_Neisseria_JF153232.1.1356","uncultured bacterium","JF153232.1.1356_beta_extraction"
"433","Neisseriaceae_Alysiella_GQ358851.1.1499","uncultured bacterium","GQ358851.1.1499_beta_extraction"
"434","Neisseriaceae_Kingella_JQ465166.1.1404","uncultured bacterium","JQ465166.1.1404_beta_extraction"
"435","Neisseriaceae_Neisseria_JQ451569.1.1410","uncultured bacterium","JQ451569.1.1410_beta_extraction"
"436","Neisseriaceae_Neisseria_KT581584.1.1416","Neisseria macacae","KT581584.1.1416_beta_extraction"
"437","Neisseriaceae_Vitreoscilla_EU104016.1.1465","uncultured bacterium","EU104016.1.1465_beta_extraction"
"438","Neisseriaceae_Neisseria_JQ452021.1.1276","uncultured bacterium",NA
"439","Neisseriaceae_Neisseria_JF116734.1.1361","uncultured bacterium","JF116734.1.1361_beta_extraction"
"440","Neisseriaceae_uncultured bacterium_JQ191134.1.1362","uncultured bacterium","JQ191134.1.1362_beta_extraction"
"441","Neisseriaceae_Neisseria_JQ467082.1.1328","uncultured bacterium","JQ467082.1.1328_beta_extraction"
"442","Neisseriaceae_Kingella_JQ463542.1.1408","uncultured bacterium","JQ463542.1.1408_beta_extraction"
"443","Neisseriaceae_Snodgrassella_JQ405129.1.1225","uncultured beta proteobacterium","JQ405129.1.1225_beta_extraction"
"444","Neisseriaceae_Conchiformibius_JF127703.1.1362","uncultured bacterium","JF127703.1.1362_beta_extraction"
"445","Neisseriaceae_Neisseria_JF143378.1.1357","uncultured bacterium","JF143378.1.1357_beta_extraction"
"446","Neisseriaceae_Neisseria_FJ191624.1.1460","uncultured Neisseria sp.","FJ191624.1.1460_beta_extraction"
"447","Neisseriaceae_Neisseria_JQ450544.1.1410","uncultured bacterium","JQ450544.1.1410_beta_extraction"
"448","Neisseriaceae_Neisseria_JQ452691.1.1389","uncultured bacterium","JQ452691.1.1389_beta_extraction"
"449","Neisseriaceae_Eikenella_JQ471026.1.1395","uncultured bacterium","JQ471026.1.1395_beta_extraction"
"450","Neisseriaceae_Neisseria_HM329870.1.1365","uncultured bacterium","HM329870.1.1365_beta_extraction"
"451","Neisseriaceae_Neisseria_KR870881.1.1476","uncultured Neisseria sp.","KR870881.1.1476_beta_extraction"
"452","Neisseriaceae_Neisseria_EF511128.1.1385","uncultured bacterium","EF511128.1.1385_beta_extraction"
"453","Neisseriaceae_Kingella_JQ459189.1.1408","uncultured bacterium","JQ459189.1.1408_beta_extraction"
"454","Neisseriaceae_Neisseria_JQ454865.1.1349","uncultured bacterium",NA
"455","Neisseriaceae_Neisseria_JQ448797.1.1389","uncultured bacterium","JQ448797.1.1389_beta_extraction"
"456","Neisseriaceae_Neisseria_CP009419.2177738.2179301","Neisseria meningitidis M7124","CP009419.2177738.2179301_beta_extraction"
"457","Neisseriaceae_Kingella_LK985395.1.1529","Kingella sp. Sch538","LK985395.1.1529_beta_extraction"
"458","Neisseriaceae_Neisseria_JQ454146.1.1416","uncultured bacterium","JQ454146.1.1416_beta_extraction"
"459","Neisseriaceae_uncultured_JF225578.1.1363","uncultured bacterium","JF225578.1.1363_beta_extraction"
"460","Neisseriaceae_uncultured_JF105728.1.1368","uncultured bacterium","JF105728.1.1368_beta_extraction"
"461","Neisseriaceae_Neisseria_JQ446782.1.1408","uncultured bacterium","JQ446782.1.1408_beta_extraction"
"462","Neisseriaceae_Neisseria_JF195623.1.1362","uncultured bacterium","JF195623.1.1362_beta_extraction"
"463","Neisseriaceae_Neisseria_JF171625.1.1363","uncultured bacterium","JF171625.1.1363_beta_extraction"
"464","Neisseriaceae_Kingella_JQ453350.1.1395","uncultured bacterium","JQ453350.1.1395_beta_extraction"
"465","Neisseriaceae_uncultured_KF093858.1.1364","uncultured bacterium","KF093858.1.1364_beta_extraction"
"466","Neisseriaceae_Neisseria_APUC01000095.247.1767","Neisseria meningitidis 2004032","APUC01000095.247.1767_beta_extraction"
"467","Neisseriaceae_Neisseria_JQ467011.1.1318","uncultured bacterium","JQ467011.1.1318_beta_extraction"
"468","Neisseriaceae_Neisseria_CAJS01000030.370.1894","Neisseria meningitidis alpha704","CAJS01000030.370.1894_beta_extraction"
"469","Neisseriaceae_Neisseria_JQ454790.1.1398","uncultured bacterium","JQ454790.1.1398_beta_extraction"
"470","Neisseriaceae_Neisseria_JQ450497.1.1410","uncultured bacterium","JQ450497.1.1410_beta_extraction"
"471","Neisseriaceae_Eikenella_JQ450473.1.1405","uncultured bacterium","JQ450473.1.1405_beta_extraction"
"472","Neisseriaceae_Kingella_JQ453491.1.1398","uncultured bacterium","JQ453491.1.1398_beta_extraction"
"473","Neisseriaceae_uncultured_HQ400084.1.1505","uncultured rumen bacterium","HQ400084.1.1505_beta_extraction"
"474","Neisseriaceae_Neisseria_JQ452818.1.1384","uncultured bacterium","JQ452818.1.1384_beta_extraction"
"475","Neisseriaceae_Neisseria_HQ810291.1.1450","uncultured organism","HQ810291.1.1450_beta_extraction"
"476","Neisseriaceae_uncultured_JF111125.1.1367","uncultured bacterium","JF111125.1.1367_beta_extraction"
"477","Neisseriaceae_Neisseria_JF135942.1.1361","uncultured bacterium","JF135942.1.1361_beta_extraction"
"478","Neisseriaceae_Kingella_JQ456889.1.1395","uncultured bacterium","JQ456889.1.1395_beta_extraction"
"479","Neisseriaceae_Conchiformibius_JN713446.1.1498","Conchiformibius steedae","JN713446.1.1498_beta_extraction"
"480","Neisseriaceae_Neisseria_JQ453040.1.1409","uncultured bacterium","JQ453040.1.1409_beta_extraction"
"481","Neisseriaceae_Neisseria_JQ455490.1.1408","uncultured bacterium","JQ455490.1.1408_beta_extraction"
"482","Neisseriaceae_Neisseria_JF113919.1.1363","uncultured bacterium","JF113919.1.1363_beta_extraction"
"483","Neisseriaceae_Kingella_KF104502.1.1361","uncultured bacterium","KF104502.1.1361_beta_extraction"
"484","Neisseriaceae_Neisseria_JQ460318.1.1402","uncultured bacterium","JQ460318.1.1402_beta_extraction"
"485","Neisseriaceae_Neisseria_JF028827.1.1366","uncultured bacterium","JF028827.1.1366_beta_extraction"
"486","Neisseriaceae_Neisseria_JQ453424.1.1366","uncultured bacterium","JQ453424.1.1366_beta_extraction"
"487","Neisseriaceae_Kingella_KF102483.1.1364","uncultured bacterium","KF102483.1.1364_beta_extraction"
"488","Neisseriaceae_Neisseria_KF068463.1.1365","uncultured bacterium","KF068463.1.1365_beta_extraction"
"489","Neisseriaceae_Neisseria_JQ464477.1.1403","uncultured bacterium","JQ464477.1.1403_beta_extraction"
"490","Neisseriaceae_Neisseria_AFWR01000009.297.1830","Neisseria weaveri ATCC 51223","AFWR01000009.297.1830_beta_extraction"
"491","Neisseriaceae_Kingella_AM420199.1.1505","uncultured Neisseriaceae bacterium","AM420199.1.1505_beta_extraction"
